#bin	bin_low_keV	bin_center_keV	bin_high_keV	counts	error	polarization	polarization_error
224	9.794018	9.816912	9.839806	20.000000	4.472136	0.745646	0.074565
225	9.839806	9.862700	9.885594	15.000000	3.872983	0.745646	0.074565
226	9.885594	9.908488	9.931382	16.000000	4.000000	0.745646	0.074565
227	9.931382	9.954276	9.977170	13.000000	3.605551	0.745646	0.074565
228	9.977170	10.000064	10.022959	19.000000	4.358899	0.745646	0.074565
229	10.022959	10.045853	10.068747	16.000000	4.000000	0.745646	0.074565
230	10.068747	10.091641	10.114535	12.000000	3.464102	0.745646	0.074565
231	10.114535	10.137429	10.160323	26.000000	5.099020	0.745646	0.074565
232	10.160323	10.183217	10.206111	19.000000	4.358899	0.745646	0.074565
233	10.206111	10.229005	10.251899	20.000000	4.472136	0.745646	0.074565
234	10.251899	10.274793	10.297687	22.000000	4.690416	0.745646	0.074565
235	10.297687	10.320581	10.343475	17.000000	4.123106	0.745646	0.074565
236	10.343475	10.366370	10.389264	20.000000	4.472136	0.745646	0.074565
237	10.389264	10.412158	10.435052	24.000000	4.898979	0.745646	0.074565
238	10.435052	10.457946	10.480840	18.000000	4.242641	0.000000	0.000000
239	10.480840	10.503734	10.526628	20.000000	4.472136	0.000000	0.000000
240	10.526628	10.549522	10.572416	19.000000	4.358899	0.000000	0.000000
241	10.572416	10.595310	10.618204	24.000000	4.898979	0.000000	0.000000
242	10.618204	10.641098	10.663992	29.000000	5.385165	0.000000	0.000000
243	10.663992	10.686887	10.709781	30.000000	5.477226	0.000000	0.000000
244	10.709781	10.732675	10.755569	29.000000	5.385165	0.000000	0.000000
245	10.755569	10.778463	10.801357	27.000000	5.196152	0.000000	0.000000
246	10.801357	10.824251	10.847145	29.000000	5.385165	0.000000	0.000000
247	10.847145	10.870039	10.892933	28.000000	5.291503	0.000000	0.000000
248	10.892933	10.915827	10.938721	27.000000	5.196152	0.000000	0.000000
249	10.938721	10.961615	10.984509	25.000000	5.000000	0.000000	0.000000
250	10.984509	11.007404	11.030298	34.000000	5.830952	0.000000	0.000000
251	11.030298	11.053192	11.076086	25.000000	5.000000	0.000000	0.000000
252	11.076086	11.098980	11.121874	33.000000	5.744563	0.000000	0.000000
253	11.121874	11.144768	11.167662	43.000000	6.557439	0.000000	0.000000
254	11.167662	11.190556	11.213450	31.000000	5.567764	0.000000	0.000000
255	11.213450	11.236344	11.259238	24.000000	4.898979	0.000000	0.000000
256	11.259238	11.282132	11.305026	34.000000	5.830952	0.000000	0.000000
257	11.305026	11.327921	11.350815	35.000000	5.916080	0.000000	0.000000
258	11.350815	11.373709	11.396603	40.000000	6.324555	0.000000	0.000000
259	11.396603	11.419497	11.442391	36.000000	6.000000	0.000000	0.000000
260	11.442391	11.465285	11.488179	41.000000	6.403124	0.000000	0.000000
261	11.488179	11.511073	11.533967	34.000000	5.830952	0.000000	0.000000
262	11.533967	11.556861	11.579755	38.000000	6.164414	0.000000	0.000000
263	11.579755	11.602649	11.625543	48.000000	6.928203	0.000000	0.000000
264	11.625543	11.648437	11.671332	40.000000	6.324555	0.000000	0.000000
265	11.671332	11.694226	11.717120	34.000000	5.830952	0.000000	0.000000
266	11.717120	11.740014	11.762908	42.000000	6.480741	0.000000	0.000000
267	11.762908	11.785802	11.808696	49.000000	7.000000	0.000000	0.000000
268	11.808696	11.831590	11.854484	66.000000	8.124038	0.000000	0.000000
269	11.854484	11.877378	11.900272	59.000000	7.681146	0.000000	0.000000
270	11.900272	11.923166	11.946060	62.000000	7.874008	0.000000	0.000000
271	11.946060	11.968954	11.991849	56.000000	7.483315	0.000000	0.000000
272	11.991849	12.014743	12.037637	73.000000	8.544004	0.000000	0.000000
273	12.037637	12.060531	12.083425	66.000000	8.124038	0.000000	0.000000
274	12.083425	12.106319	12.129213	70.000000	8.366600	0.000000	0.000000
275	12.129213	12.152107	12.175001	67.000000	8.185353	0.000000	0.000000
276	12.175001	12.197895	12.220789	106.000000	10.295630	0.000000	0.000000
277	12.220789	12.243683	12.266577	90.000000	9.486833	0.000000	0.000000
278	12.266577	12.289471	12.312366	102.000000	10.099505	0.000000	0.000000
279	12.312366	12.335260	12.358154	123.000000	11.090537	0.000000	0.000000
280	12.358154	12.381048	12.403942	137.000000	11.704700	0.000000	0.000000
281	12.403942	12.426836	12.449730	150.000000	12.247449	0.000000	0.000000
282	12.449730	12.472624	12.495518	176.000000	13.266499	0.000000	0.000000
283	12.495518	12.518412	12.541306	196.000000	14.000000	0.000000	0.000000
284	12.541306	12.564200	12.587094	198.000000	14.071247	0.000000	0.000000
285	12.587094	12.609988	12.632883	248.000000	15.748016	0.000000	0.000000
286	12.632883	12.655777	12.678671	289.000000	17.000000	0.000000	0.000000
287	12.678671	12.701565	12.724459	330.000000	18.165902	0.000000	0.000000
288	12.724459	12.747353	12.770247	345.000000	18.574176	0.000000	0.000000
289	12.770247	12.793141	12.816035	415.000000	20.371549	0.000000	0.000000
290	12.816035	12.838929	12.861823	429.000000	20.712315	0.000000	0.000000
291	12.861823	12.884717	12.907611	500.000000	22.360680	0.000000	0.000000
292	12.907611	12.930505	12.953400	505.000000	22.472205	0.000000	0.000000
293	12.953400	12.976294	12.999188	567.000000	23.811762	0.000000	0.000000
294	12.999188	13.022082	13.044976	573.000000	23.937418	0.000000	0.000000
295	13.044976	13.067870	13.090764	526.000000	22.934690	0.000000	0.000000
296	13.090764	13.113658	13.136552	507.000000	22.516660	0.000000	0.000000
297	13.136552	13.159446	13.182340	461.000000	21.470911	0.000000	0.000000
298	13.182340	13.205234	13.228128	410.000000	20.248457	0.000000	0.000000
299	13.228128	13.251022	13.273916	350.000000	18.708287	0.000000	0.000000
300	13.273916	13.296811	13.319705	280.000000	16.733201	0.000000	0.000000
301	13.319705	13.342599	13.365493	249.000000	15.779734	0.000000	0.000000
302	13.365493	13.388387	13.411281	195.000000	13.964240	0.000000	0.000000
303	13.411281	13.434175	13.457069	176.000000	13.266499	0.000000	0.000000
304	13.457069	13.479963	13.502857	141.000000	11.874342	0.000000	0.000000
305	13.502857	13.525751	13.548645	125.000000	11.180340	0.000000	0.000000
306	13.548645	13.571539	13.594433	105.000000	10.246951	0.000000	0.000000
307	13.594433	13.617328	13.640222	104.000000	10.198039	0.000000	0.000000
308	13.640222	13.663116	13.686010	97.000000	9.848858	0.000000	0.000000
309	13.686010	13.708904	13.731798	73.000000	8.544004	0.000000	0.000000
310	13.731798	13.754692	13.777586	94.000000	9.695360	0.000000	0.000000
311	13.777586	13.800480	13.823374	75.000000	8.660254	0.000000	0.000000
312	13.823374	13.846268	13.869162	98.000000	9.899495	0.000000	0.000000
313	13.869162	13.892056	13.914950	109.000000	10.440307	0.000000	0.000000
314	13.914950	13.937845	13.960739	111.000000	10.535654	0.000000	0.000000
315	13.960739	13.983633	14.006527	92.000000	9.591663	0.000000	0.000000
316	14.006527	14.029421	14.052315	106.000000	10.295630	0.000000	0.000000
317	14.052315	14.075209	14.098103	123.000000	11.090537	0.000000	0.000000
318	14.098103	14.120997	14.143891	133.000000	11.532563	0.000000	0.000000
319	14.143891	14.166785	14.189679	111.000000	10.535654	0.000000	0.000000
320	14.189679	14.212573	14.235467	130.000000	11.401754	0.000000	0.000000
321	14.235467	14.258362	14.281256	121.000000	11.000000	0.000000	0.000000
322	14.281256	14.304150	14.327044	132.000000	11.489125	0.519838	0.051984
323	14.327044	14.349938	14.372832	141.000000	11.874342	0.519838	0.051984
324	14.372832	14.395726	14.418620	127.000000	11.269428	0.519838	0.051984
325	14.418620	14.441514	14.464408	170.000000	13.038405	0.519838	0.051984
326	14.464408	14.487302	14.510196	124.000000	11.135529	0.519838	0.051984
327	14.510196	14.533090	14.555984	168.000000	12.961481	0.519838	0.051984
328	14.555984	14.578879	14.601773	166.000000	12.884099	0.519838	0.051984
329	14.601773	14.624667	14.647561	157.000000	12.529964	0.519838	0.051984
330	14.647561	14.670455	14.693349	161.000000	12.688578	0.519838	0.051984
331	14.693349	14.716243	14.739137	165.000000	12.845233	0.519838	0.051984
332	14.739137	14.762031	14.784925	203.000000	14.247807	0.519838	0.051984
333	14.784925	14.807819	14.830713	222.000000	14.899664	0.519838	0.051984
334	14.830713	14.853607	14.876501	215.000000	14.662878	0.519838	0.051984
335	14.876501	14.899395	14.922290	207.000000	14.387495	0.519838	0.051984
336	14.922290	14.945184	14.968078	220.000000	14.832397	0.519838	0.051984
337	14.968078	14.990972	15.013866	220.000000	14.832397	0.519838	0.051984
338	15.013866	15.036760	15.059654	229.000000	15.132746	0.519838	0.051984
339	15.059654	15.082548	15.105442	210.000000	14.491377	0.519838	0.051984
340	15.105442	15.128336	15.151230	210.000000	14.491377	0.519838	0.051984
341	15.151230	15.174124	15.197018	218.000000	14.764823	0.519838	0.051984
342	15.197018	15.219912	15.242807	221.000000	14.866069	0.519838	0.051984
343	15.242807	15.265701	15.288595	208.000000	14.422205	0.519838	0.051984
344	15.288595	15.311489	15.334383	194.000000	13.928388	0.519838	0.051984
345	15.334383	15.357277	15.380171	208.000000	14.422205	0.519838	0.051984
346	15.380171	15.403065	15.425959	238.000000	15.427249	0.519838	0.051984
347	15.425959	15.448853	15.471747	230.000000	15.165751	0.519838	0.051984
348	15.471747	15.494641	15.517535	234.000000	15.297059	0.519838	0.051984
349	15.517535	15.540429	15.563324	227.000000	15.066519	0.519838	0.051984
350	15.563324	15.586218	15.609112	231.000000	15.198684	0.519838	0.051984
351	15.609112	15.632006	15.654900	227.000000	15.066519	0.519838	0.051984
352	15.654900	15.677794	15.700688	248.000000	15.748016	0.519838	0.051984
353	15.700688	15.723582	15.746476	260.000000	16.124515	0.519838	0.051984
354	15.746476	15.769370	15.792264	219.000000	14.798649	0.519838	0.051984
355	15.792264	15.815158	15.838052	265.000000	16.278821	0.519838	0.051984
356	15.838052	15.860946	15.883841	238.000000	15.427249	0.519838	0.051984
357	15.883841	15.906735	15.929629	283.000000	16.822604	0.519838	0.051984
358	15.929629	15.952523	15.975417	262.000000	16.186414	0.519838	0.051984
359	15.975417	15.998311	16.021205	260.000000	16.124515	0.519838	0.051984
360	16.021205	16.044099	16.066993	272.000000	16.492423	0.519838	0.051984
361	16.066993	16.089887	16.112781	289.000000	17.000000	0.519838	0.051984
362	16.112781	16.135675	16.158569	309.000000	17.578396	0.519838	0.051984
363	16.158569	16.181463	16.204358	333.000000	18.248288	0.519838	0.051984
364	16.204358	16.227252	16.250146	361.000000	19.000000	0.519838	0.051984
365	16.250146	16.273040	16.295934	397.000000	19.924859	0.519838	0.051984
366	16.295934	16.318828	16.341722	411.000000	20.273135	0.519838	0.051984
367	16.341722	16.364616	16.387510	444.000000	21.071308	0.519838	0.051984
368	16.387510	16.410404	16.433298	513.000000	22.649503	0.519838	0.051984
369	16.433298	16.456192	16.479086	554.000000	23.537205	0.519838	0.051984
370	16.479086	16.501980	16.524874	592.000000	24.331050	0.519838	0.051984
371	16.524874	16.547769	16.570663	687.000000	26.210685	0.519838	0.051984
372	16.570663	16.593557	16.616451	775.000000	27.838822	0.519838	0.051984
373	16.616451	16.639345	16.662239	791.000000	28.124722	0.519838	0.051984
374	16.662239	16.685133	16.708027	920.000000	30.331502	0.519838	0.051984
375	16.708027	16.730921	16.753815	1014.000000	31.843367	0.519838	0.051984
376	16.753815	16.776709	16.799603	1155.000000	33.985291	0.519838	0.051984
377	16.799603	16.822497	16.845391	1166.000000	34.146742	0.519838	0.051984
378	16.845391	16.868286	16.891180	1318.000000	36.304270	0.519838	0.051984
379	16.891180	16.914074	16.936968	1362.000000	36.905284	0.519838	0.051984
380	16.936968	16.959862	16.982756	1476.000000	38.418745	0.519838	0.051984
381	16.982756	17.005650	17.028544	1608.000000	40.099875	0.519838	0.051984
382	17.028544	17.051438	17.074332	1792.000000	42.332021	0.519838	0.051984
383	17.074332	17.097226	17.120120	1999.000000	44.710178	0.519838	0.051984
384	17.120120	17.143014	17.165908	2437.000000	49.365980	0.519838	0.051984
385	17.165908	17.188803	17.211697	2876.000000	53.628351	0.519838	0.051984
386	17.211697	17.234591	17.257485	3489.000000	59.067758	0.519838	0.051984
387	17.257485	17.280379	17.303273	4004.000000	63.277168	0.519838	0.051984
388	17.303273	17.326167	17.349061	4588.000000	67.734777	0.519838	0.051984
389	17.349061	17.371955	17.394849	5266.000000	72.567210	0.519838	0.051984
390	17.394849	17.417743	17.440637	5502.000000	74.175468	0.519838	0.051984
391	17.440637	17.463531	17.486425	5430.000000	73.688534	0.519838	0.051984
392	17.486425	17.509320	17.532214	5299.000000	72.794231	0.519838	0.051984
393	17.532214	17.555108	17.578002	4991.000000	70.647010	0.519838	0.051984
394	17.578002	17.600896	17.623790	4364.000000	66.060578	0.519838	0.051984
395	17.623790	17.646684	17.669578	3668.000000	60.564016	0.519838	0.051984
396	17.669578	17.692472	17.715366	2903.000000	53.879495	0.519838	0.051984
397	17.715366	17.738260	17.761154	2229.000000	47.212287	0.519838	0.051984
398	17.761154	17.784048	17.806942	1683.000000	41.024383	0.519838	0.051984
399	17.806942	17.829837	17.852731	1319.000000	36.318040	0.519838	0.051984
400	17.852731	17.875625	17.898519	1028.000000	32.062439	0.519838	0.051984
401	17.898519	17.921413	17.944307	816.000000	28.565714	0.519838	0.051984
402	17.944307	17.967201	17.990095	689.000000	26.248809	0.519838	0.051984
403	17.990095	18.012989	18.035883	513.000000	22.649503	0.519838	0.051984
404	18.035883	18.058777	18.081671	521.000000	22.825424	0.519838	0.051984
405	18.081671	18.104565	18.127459	485.000000	22.022716	0.519838	0.051984
406	18.127459	18.150353	18.173248	495.000000	22.248595	0.519838	0.051984
407	18.173248	18.196142	18.219036	484.000000	22.000000	0.519838	0.051984
408	18.219036	18.241930	18.264824	493.000000	22.203603	0.519838	0.051984
409	18.264824	18.287718	18.310612	515.000000	22.693611	0.519838	0.051984
410	18.310612	18.333506	18.356400	541.000000	23.259407	0.519838	0.051984
411	18.356400	18.379294	18.402188	545.000000	23.345235	0.519838	0.051984
412	18.402188	18.425082	18.447976	563.000000	23.727621	0.519838	0.051984
413	18.447976	18.470870	18.493765	597.000000	24.433583	0.519838	0.051984
414	18.493765	18.516659	18.539553	607.000000	24.637370	0.519838	0.051984
415	18.539553	18.562447	18.585341	686.000000	26.191602	0.519838	0.051984
416	18.585341	18.608235	18.631129	720.000000	26.832816	0.519838	0.051984
417	18.631129	18.654023	18.676917	752.000000	27.422618	0.519838	0.051984
418	18.676917	18.699811	18.722705	762.000000	27.604347	0.519838	0.051984
419	18.722705	18.745599	18.768493	801.000000	28.301943	0.519838	0.051984
420	18.768493	18.791387	18.814282	860.000000	29.325757	0.519838	0.051984
421	18.814282	18.837176	18.860070	945.000000	30.740852	0.519838	0.051984
422	18.860070	18.882964	18.905858	850.000000	29.154759	0.519838	0.051984
423	18.905858	18.928752	18.951646	863.000000	29.376862	0.519838	0.051984
424	18.951646	18.974540	18.997434	854.000000	29.223278	0.519838	0.051984
425	18.997434	19.020328	19.043222	864.000000	29.393877	0.519838	0.051984
426	19.043222	19.066116	19.089010	885.000000	29.748950	0.519838	0.051984
427	19.089010	19.111904	19.134799	885.000000	29.748950	0.519838	0.051984
428	19.134799	19.157693	19.180587	900.000000	30.000000	0.519838	0.051984
429	19.180587	19.203481	19.226375	849.000000	29.137605	0.519838	0.051984
430	19.226375	19.249269	19.272163	817.000000	28.583212	0.519838	0.051984
431	19.272163	19.295057	19.317951	826.000000	28.740216	0.519838	0.051984
432	19.317951	19.340845	19.363739	767.000000	27.694765	0.519838	0.051984
433	19.363739	19.386633	19.409527	794.000000	28.178006	0.519838	0.051984
434	19.409527	19.432421	19.455316	837.000000	28.930952	0.519838	0.051984
435	19.455316	19.478210	19.501104	827.000000	28.757608	0.519838	0.051984
436	19.501104	19.523998	19.546892	881.000000	29.681644	0.519838	0.051984
437	19.546892	19.569786	19.592680	910.000000	30.166206	0.519838	0.051984
438	19.592680	19.615574	19.638468	870.000000	29.495762	0.519838	0.051984
439	19.638468	19.661362	19.684256	901.000000	30.016662	0.519838	0.051984
440	19.684256	19.707150	19.730044	875.000000	29.580399	0.519838	0.051984
441	19.730044	19.752938	19.775832	862.000000	29.359837	0.519838	0.051984
442	19.775832	19.798727	19.821621	779.000000	27.910571	0.519838	0.051984
443	19.821621	19.844515	19.867409	843.000000	29.034462	0.519838	0.051984
444	19.867409	19.890303	19.913197	799.000000	28.266588	0.519838	0.051984
445	19.913197	19.936091	19.958985	742.000000	27.239677	0.519838	0.051984
446	19.958985	19.981879	20.004773	721.000000	26.851443	0.519838	0.051984
447	20.004773	20.027667	20.050561	713.000000	26.702060	0.519838	0.051984
448	20.050561	20.073455	20.096349	713.000000	26.702060	0.519838	0.051984
449	20.096349	20.119244	20.142138	742.000000	27.239677	0.519838	0.051984
450	20.142138	20.165032	20.187926	660.000000	25.690465	0.519838	0.051984
451	20.187926	20.210820	20.233714	675.000000	25.980762	0.519838	0.051984
452	20.233714	20.256608	20.279502	706.000000	26.570661	0.519838	0.051984
453	20.279502	20.302396	20.325290	662.000000	25.729361	0.519838	0.051984
454	20.325290	20.348184	20.371078	701.000000	26.476405	0.519838	0.051984
455	20.371078	20.393972	20.416866	718.000000	26.795522	0.519838	0.051984
456	20.416866	20.439761	20.462655	696.000000	26.381812	0.519838	0.051984
457	20.462655	20.485549	20.508443	685.000000	26.172505	0.519838	0.051984
458	20.508443	20.531337	20.554231	721.000000	26.851443	0.519838	0.051984
459	20.554231	20.577125	20.600019	726.000000	26.944387	0.000000	0.000000
460	20.600019	20.622913	20.645807	740.000000	27.202941	0.000000	0.000000
461	20.645807	20.668701	20.691595	734.000000	27.092434	0.000000	0.000000
462	20.691595	20.714489	20.737383	751.000000	27.404379	0.000000	0.000000
463	20.737383	20.760278	20.783172	768.000000	27.712813	0.000000	0.000000
464	20.783172	20.806066	20.828960	696.000000	26.381812	0.000000	0.000000
465	20.828960	20.851854	20.874748	817.000000	28.583212	0.000000	0.000000
466	20.874748	20.897642	20.920536	795.000000	28.195744	0.000000	0.000000
467	20.920536	20.943430	20.966324	806.000000	28.390139	0.000000	0.000000
468	20.966324	20.989218	21.012112	818.000000	28.600699	0.000000	0.000000
469	21.012112	21.035006	21.057900	848.000000	29.120440	0.000000	0.000000
470	21.057900	21.080795	21.103689	810.000000	28.460499	0.000000	0.000000
471	21.103689	21.126583	21.149477	856.000000	29.257478	0.000000	0.000000
472	21.149477	21.172371	21.195265	862.000000	29.359837	0.000000	0.000000
473	21.195265	21.218159	21.241053	862.000000	29.359837	0.000000	0.000000
474	21.241053	21.263947	21.286841	858.000000	29.291637	0.000000	0.000000
475	21.286841	21.309735	21.332629	866.000000	29.427878	0.000000	0.000000
476	21.332629	21.355523	21.378417	932.000000	30.528675	0.000000	0.000000
477	21.378417	21.401311	21.424206	906.000000	30.099834	0.000000	0.000000
478	21.424206	21.447100	21.469994	968.000000	31.112698	0.000000	0.000000
479	21.469994	21.492888	21.515782	969.000000	31.128765	0.000000	0.000000
480	21.515782	21.538676	21.561570	1013.000000	31.827661	0.000000	0.000000
481	21.561570	21.584464	21.607358	997.000000	31.575307	0.000000	0.000000
482	21.607358	21.630252	21.653146	1019.000000	31.921779	0.000000	0.000000
483	21.653146	21.676040	21.698934	1034.000000	32.155870	0.000000	0.000000
484	21.698934	21.721828	21.744723	1039.000000	32.233523	0.000000	0.000000
485	21.744723	21.767617	21.790511	1025.000000	32.015621	0.000000	0.000000
486	21.790511	21.813405	21.836299	1007.000000	31.733263	0.000000	0.000000
487	21.836299	21.859193	21.882087	1033.000000	32.140317	0.000000	0.000000
488	21.882087	21.904981	21.927875	1057.000000	32.511536	0.000000	0.000000
489	21.927875	21.950769	21.973663	1033.000000	32.140317	0.000000	0.000000
490	21.973663	21.996557	22.019451	1075.000000	32.787193	0.000000	0.000000
491	22.019451	22.042345	22.065240	1008.000000	31.749016	0.000000	0.000000
492	22.065240	22.088134	22.111028	1024.000000	32.000000	0.000000	0.000000
493	22.111028	22.133922	22.156816	1090.000000	33.015148	0.000000	0.000000
494	22.156816	22.179710	22.202604	1021.000000	31.953091	0.000000	0.000000
495	22.202604	22.225498	22.248392	1044.000000	32.310989	0.000000	0.000000
496	22.248392	22.271286	22.294180	994.000000	31.527766	0.000000	0.000000
497	22.294180	22.317074	22.339968	1020.000000	31.937439	0.000000	0.000000
498	22.339968	22.362862	22.385757	961.000000	31.000000	0.000000	0.000000
499	22.385757	22.408651	22.431545	994.000000	31.527766	0.000000	0.000000
500	22.431545	22.454439	22.477333	1002.000000	31.654384	0.000000	0.000000
501	22.477333	22.500227	22.523121	985.000000	31.384710	0.000000	0.000000
502	22.523121	22.546015	22.568909	996.000000	31.559468	0.000000	0.000000
503	22.568909	22.591803	22.614697	980.000000	31.304952	0.000000	0.000000
504	22.614697	22.637591	22.660485	982.000000	31.336879	0.000000	0.000000
505	22.660485	22.683379	22.706274	982.000000	31.336879	0.000000	0.000000
506	22.706274	22.729168	22.752062	992.000000	31.496031	0.000000	0.000000
507	22.752062	22.774956	22.797850	1027.000000	32.046841	0.000000	0.000000
508	22.797850	22.820744	22.843638	1013.000000	31.827661	0.000000	0.000000
